Size	1	2	3	4
1000	100836.57	82640.5	        251772.88	163161.3
2000	141896.16	109405.98	252870.22	115121.71
3000	174667.23	150069.94	296543.03	205474.05
4000	190874.28	122811.26	173520.69	154420.9
5000	218327.42	136147.31	171510.19	125577.58
6000	266191.03	146815.7	154767.22	138149.58
7000	284642.25	168384.64	179375.19	156844.34
8000	318811.25	190303.72	195534.05	181384.58
9000	364716.6	215921.0	212421.78	199844.48
10000	401106.9	230164.05	232936.08	204361.88
11000	467820.62	274420.94	262501.72	229508.12
12000	484472.6	260227.12	256812.44	225405.16
13000	524815.06	278676.8	274683.47	237402.1
14000	563603.3	305308.62	288720.44	263100.38
15000	589581.75	329049.22	303473.16	279693.62
16000	632796.94	342225.16	313710.78	289585.56
17000	662419.25	367548.47	334105.53	297442.84
18000	711452.5	391727.03	340524.84	312659.2
19000	760191.1	416236.97	367879.53	329153.3
20000	817631.25	445945.75	383919.84	351870.0
21000	842223.44	467582.4	401865.28	373948.38
22000	898255.1	494082.38	415543.8	385627.12
23000	925344.06	508214.88	434255.84	396245.84
24000	980546.6	528612.9	447555.2	413100.53
25000	1044576.8	541924.2	460242.0	413344.3
26000	1089453.8	573512.9	467563.84	429788.44
27000	1137454.1	601584.6	489838.25	453487.2
28000	1241483.1	639930.1	522078.8	471930.44
29000	1262661.8	675027.2	534657.25	509050.53
30000	1307579.8	661877.75	528932.4	528078.4
31000	1353310.4	715879.75	543377.2	513755.25
32000	1465982.1	728353.75	566137.9	513143.53
33000	1487625.8	736853.8	572232.44	523609.25
34000	1569754.8	788405.6	602648.4	545868.56
35000	1611821.6	793197.4	655668.8	554043.2
36000	1681390.1	855810.5	636806.94	568208.6
37000	1768133.6	854822.5	646787.1	565118.75
38000	1830108.8	867590.3	636409.5	583128.56
39000	1922782.4	926795.8	691517.75	636796.94
40000	1980745.9	950516.3	712310.4	640516.1
41000	2027531.2	978420.75	693679.06	641011.2
42000	2087042.9	1013863.4	703897.44	679286.3
43000	2171151.5	1082538.4	732952.4	674852.6
44000	2304151.8	1102704.0	751159.7	695056.3
45000	2424928.8	1139416.8	771630.75	701656.75
46000	2432125.0	1107760.8	767277.1	714766.25
47000	2457337.5	1124655.0	768721.5	727674.75
48000	2567268.2	1178302.8	803078.4	774929.75
49000	2637888.0	1195059.0	822477.25	787092.06
50000	2727430.5	1251645.0	855208.6	805208.2
